eventID	locality	higherGeographyID	gearType	eventDateStart	eventDateStop	timeStartUtc3	timeEndUtc3	eventTime	eventDate	duration	recordedBy	recordedByID	latStartDecMin	longStartDecMin	latStopDecMin	longStopDecMin	minimumDepthInMeters	maximumDepthInMeters	maximumElevationInMeters	sampleIdsStart	sampleIdsStop	eventRemarks	latStart	longStart	parentEventID	samplingProtocol	lat_start	lat_stop	lon_start	lon_stop	decimalLatitude	decimalLongitude	distance_m	coordinateUncertaintyInMeters	eventDate_chr	eventTime_chr	multi_day	start_text	end_text	start_datetime	end_datetime	sampleSizeValue	sampleSizeUnit
TANGO2_DIV_1	Melchior Island, North Omega	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=110104	DIV	2024-02-11T00:00:00Z		1899-12-31T09:55:00Z	1899-12-31T10:37:00Z	09:55-03:00/10:37-03:00	2024-02-11	0.02916666666666673	Martin Dogniez | Lea Katz | Anthony Voisin	https://orcid.org/0000-0002-9708-1761 | https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0003-3696-4445	64°19,235	62°55,418				21		1	70	Sea urchins, photography			https://www.wikidata.org/wiki/Q137398578	Scuba Divers | https://doi.org/10.5281/zenodo.11653690 | Diving activities are reported in the cruise report (see Table 17 Summary of diving activities during TANGO2). Underwater imagery was shot by the divers Team (Lucas Terrana, Lea Katz, Camille Moreau, Martin Dogniez and Anthony Voisin).	-64.32058333333333		-62.923633333333335		-64.3206	-62.9236			2024-02-11	09:55-03:00/10:37-03:00	FALSE	2024-02-11T09:55-0300	2024-02-11T10:37-0300	2024-02-11T12:55:00Z	2024-02-11T13:37:00Z	42	minutes
TANGO2_DIV_2	Melchior Island, North Omega	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=110104	DIV	2024-02-11T00:00:00Z		1899-12-31T11:34:00Z	1899-12-31T12:20:00Z	11:34-03:00/12:20-03:00	2024-02-11	0.0319444444444445	Lucas Terrana | Camille Moreau	https://orcid.org/0000-0001-5767-3220 | https://orcid.org/0000-0002-0981-7442	64°19,235	62°55,418				21		73	92	Meiobenthioc cores and incubation cores			https://www.wikidata.org/wiki/Q137398578	Scuba Divers | https://doi.org/10.5281/zenodo.11653690 | Diving activities are reported in the cruise report (see Table 17 Summary of diving activities during TANGO2). Underwater imagery was shot by the divers Team (Lucas Terrana, Lea Katz, Camille Moreau, Martin Dogniez and Anthony Voisin).	-64.32058333333333		-62.923633333333335		-64.3206	-62.9236			2024-02-11	11:34-03:00/12:20-03:00	FALSE	2024-02-11T11:34-0300	2024-02-11T12:20-0300	2024-02-11T14:34:00Z	2024-02-11T15:20:00Z	46	minutes
TANGO2_ST_1	Melchior Island, North Omega	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=110104	ST	2024-02-11T00:00:00Z	2024-02-16T00:00:00Z	1899-12-31T12:58:00Z	1899-12-31T09:54:00Z		2024-02-11T12:58-03:00/2024-02-16T09:54-03:00	116.93333333329065	Axelle Brusselman	https://orcid.org/0009-0002-6669-2911	64°19,2206	62°55,2654				21		1259	1260	Deployment			https://www.wikidata.org/wiki/Q137398578	Sediment Traps | https://doi.org/10.5281/zenodo.11653690 | Sediment Traps are listed among the gear deployed during the TANGO 2 expedition (Table 3: List of gear deployed during the TANGO 2 expedition).	-64.32034333333333		-62.92109		-64.3203	-62.9211			2024-02-11T12:58-03:00/2024-02-16T09:54-03:00		TRUE	2024-02-11T12:58-0300	2024-02-16T09:54-0300	2024-02-11T15:58:00Z	2024-02-16T12:54:00Z	7016	minutes
TANGO2_NIS_1	Melchior Island, North Omega	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=110104	NIS	2024-02-11T00:00:00Z		1899-12-31T16:44:00Z	1899-12-31T17:00:00Z	16:44-03:00/17:00-03:00	2024-02-11	0.011111111111111183	Axelle Brusselman	https://orcid.org/0009-0002-6669-2911	64°19,235	62°55,418				20		93	137				https://www.wikidata.org/wiki/Q137398578	Niskin bottle | https://doi.org/10.5281/zenodo.11653690 | Water samples were collected using Niskin bottles during NIS events as part of the expedition environmental parameters and biogeochemistry work. See Table 5 (Parameters to be measured in the water column) and Table 11 (Overview of the sampling effort … (DIV = diving event, NIS = Niskin event)) for the list of parameters and station-level sampling effort details.	-64.32058333333333		-62.923633333333335		-64.3206	-62.9236			2024-02-11	16:44-03:00/17:00-03:00	FALSE	2024-02-11T16:44-0300	2024-02-11T17:00-0300	2024-02-11T19:44:00Z	2024-02-11T20:00:00Z	16	minutes
TANGO2_DR_1	Melchior Island, North Omega	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=110104	DR	2024-02-11T00:00:00Z		1899-12-31T14:00:00Z	1899-12-31T14:30:00Z	14:00-03:00/14:30-03:00	2024-02-11	0.02083333333333326	Bruno Danis	https://orcid.org/0000-0002-9037-7623	64°19,235	62°55,418					300						https://www.wikidata.org/wiki/Q137398578		-64.32058333333333		-62.923633333333335		-64.3206	-62.9236			2024-02-11	14:00-03:00/14:30-03:00	FALSE	2024-02-11T14:00-0300	2024-02-11T14:30-0300	2024-02-11T17:00:00Z	2024-02-11T17:30:00Z	30	minutes
TANGO2_AT_1	Melchior Island, North Omega	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=110104	AT	2024-02-11T00:00:00Z	2024-02-13T00:00:00Z	1899-12-31T17:30:00Z	1899-12-31T17:00:00Z		2024-02-11T17:30-03:00/2024-02-13T17:00-03:00	47.500000000116415	Henri Robert		64°19,24	62°55,25				22				Deployment			https://www.wikidata.org/wiki/Q137398578	Amphipod Trap | https://doi.org/10.5281/zenodo.11653690 | Baited “amphipod trap” (AT) are used to capture scavenging communities present in the selected areas. The “homemade” type of trap used during the expedition are composed of a coarse plastic mesh for protection of a 500µ fine mesh rolled around two rings of PVC pipes to produce a cylinder of 15x40 cm. Both end of the trap are equipped with a funnel with a 2 cm opening directed inward to prevent organisms to escape after penetrating the trap. The bait used consists of mackerel tied inside the trap. Traps are deployed in pairs, secured together with a metal frame. A 5kg ballast weight is used to anchor the traps on ground level. The system holds to a rope equipped with a sailing buoy floating at the surface for easy spotting and recovery of the trap. The device is deployed for a minimum of 24 hours and maximum 48 hours. Longer deployment may allow scavengers to completely consume the bait, roam around and eventually escape from the trap. Shorter deployment time may not provide enough time for detection of the bait by the scavenger. At each sampling station, AT were deployed at two different locations bringing the deployment total to 6 AT for the TANGO2 expedition.	-64.32066666666667		-62.920833333333334		-64.3207	-62.9208			2024-02-11T17:30-03:00/2024-02-13T17:00-03:00		TRUE	2024-02-11T17:30-0300	2024-02-13T17:00-0300	2024-02-11T20:30:00Z	2024-02-13T20:00:00Z	2850	minutes
TANGO2_ROV_1	Melchior Island, North Omega	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=110104	ROV	2024-02-11T00:00:00Z		1899-12-31T16:30:00Z	1899-12-31T17:30:00Z	16:30-03:00/17:30-03:00	2024-02-11	0.04166666666666663	Lea Katz | Henri Robert	https://orcid.org/0000-0001-5748-602X	64°19,235	62°55,418				20				Leak			https://www.wikidata.org/wiki/Q137398578	Remotely Operated Vehicle | https://doi.org/10.5281/zenodo.11653690 | A small affordable Remotely Operated Vehicle (ROV), the BlueROV2 from BlueRobotics, was equipped with a downward looking GoPro (HERO10), a single-beam sonar and a pair of lasers. The ROV was deployed from the Australis itself or from a Bombard C4 tender. With a person managing the tether to assist the pilot. GPS coordinates were taken on the surface using a handheld GPS (Garmin Oregon 600), then the ROV headed straight downwards until reaching the bottom. It was then flown at a constant altitude above the seafloor (1 meter), with a known bearing, for approx. 15 minutes at a pace of 0,1m/s, resulting in transects between 90-110 meters, depending on the geomorphological characteristics of the site. Then, it was brought back straight upwards to the surface and a second GPS point was recorded. If, for weather or logistic reasons, it was not possible to retrieve the second GPS point, it was calculated afterwards using distance and bearing.	-64.32058333333333		-62.923633333333335		-64.3206	-62.9236			2024-02-11	16:30-03:00/17:30-03:00	FALSE	2024-02-11T16:30-0300	2024-02-11T17:30-0300	2024-02-11T19:30:00Z	2024-02-11T20:30:00Z	60	minutes
TANGO2_DIV_3	Melchior Island, North Omega	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=110104	DIV	2024-02-12T00:00:00Z		1899-12-31T09:02:00Z	1899-12-31T09:47:00Z	09:02-03:00/09:47-03:00	2024-02-12	0.03125	Anthony Voisin | Martin Dogniez	https://orcid.org/0000-0003-3696-4445 | https://orcid.org/0000-0002-9708-1761	64°19,235	62°55,418				20		301		Trophic Quadrats			https://www.wikidata.org/wiki/Q137398578	Scuba Divers | https://doi.org/10.5281/zenodo.11653690 | Diving activities are reported in the cruise report (see Table 17 Summary of diving activities during TANGO2). Underwater imagery was shot by the divers Team (Lucas Terrana, Lea Katz, Camille Moreau, Martin Dogniez and Anthony Voisin).	-64.32058333333333		-62.923633333333335		-64.3206	-62.9236			2024-02-12	09:02-03:00/09:47-03:00	FALSE	2024-02-12T09:02-0300	2024-02-12T09:47-0300	2024-02-12T12:02:00Z	2024-02-12T12:47:00Z	45	minutes
TANGO2_DIV_4	Melchior Island, North Omega	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=110104	DIV	2024-02-12T00:00:00Z		1899-12-31T10:37:00Z	1899-12-31T11:29:00Z	10:37-03:00/11:29-03:00	2024-02-12	0.03611111111111104	Lea Katz | Lucas Terrana | Camille Moreau	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0001-5767-3220 | https://orcid.org/0000-0002-0981-7442	64°19,235	62°55,418				22		140	150	Morphotype collection and documentation			https://www.wikidata.org/wiki/Q137398578	Scuba Divers | https://doi.org/10.5281/zenodo.11653690 | Diving activities are reported in the cruise report (see Table 17 Summary of diving activities during TANGO2). Underwater imagery was shot by the divers Team (Lucas Terrana, Lea Katz, Camille Moreau, Martin Dogniez and Anthony Voisin).	-64.32058333333333		-62.923633333333335		-64.3206	-62.9236			2024-02-12	10:37-03:00/11:29-03:00	FALSE	2024-02-12T10:37-0300	2024-02-12T11:29-0300	2024-02-12T13:37:00Z	2024-02-12T14:29:00Z	52	minutes
TANGO2_NIS_2	Melchior Island, North Omega	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=110104	NIS	2024-02-12T00:00:00Z		1899-12-31T10:00:00Z	1899-12-31T10:20:00Z	10:00-03:00/10:20-03:00	2024-02-12	0.013888888888888895	Axelle Brusselman | Manon Bayat	https://orcid.org/0009-0002-6669-2911	64°19,235	62°55,418			0	20		171	182				https://www.wikidata.org/wiki/Q137398578	Niskin bottle | https://doi.org/10.5281/zenodo.11653690 | Water samples were collected using Niskin bottles during NIS events as part of the expedition environmental parameters and biogeochemistry work. See Table 5 (Parameters to be measured in the water column) and Table 11 (Overview of the sampling effort … (DIV = diving event, NIS = Niskin event)) for the list of parameters and station-level sampling effort details.	-64.32058333333333		-62.923633333333335		-64.3206	-62.9236			2024-02-12	10:00-03:00/10:20-03:00	FALSE	2024-02-12T10:00-0300	2024-02-12T10:20-0300	2024-02-12T13:00:00Z	2024-02-12T13:20:00Z	20	minutes
