occurrenceID	parentSampleId	sampleId	sampleType	parameter	verbatimScientificName	individualCount	verbatimIdentification	scientificName	scientificNameAuthorship	scientificNameId	kingdom	phylum	class	order	family	genus	specificEpithet	taxonRank	identifiedBy1	identifiedBy2	identifiedBy3	identifiedBy4	identifiedById1	identifiedById2	identifiedById3	identifiedById4	preservedIn1	preservedIn2	preservedIn3	container1	container2	container3	remark	recordedBy1	tangoProject	occurrenceRemarks	eventID	recordedBy	recordedByID	identifiedBy	identifiedByID	basisOfRecord	occurrenceStatus
TANGO2_RD_1_152_NA_Ethanol 96_NA		152	biota		Porifera	15	Porifera	Porifera	Grant, 1836	urn:lsid:marinespecies.org:taxname:558	Animalia	Porifera						phylum	Henri Robert	Camille Moreau				https://orcid.org/0000-0002-0981-7442			Ethanol 96				Kautex 100 ml			Bruno Danis	BIODIVERSITY_MEGABENTHOS		TANGO2_RD_1	Bruno Danis		Henri Robert | Camille Moreau	https://orcid.org/0000-0002-0981-7442	PreservedSpecimen	detected
TANGO2_RD_1_153_NA_Ethanol 96_NA		153	biota		Invertebrata		Invertebrata	Biota		urn:lsid:marinespecies.org:taxname:1								superdomain	Henri Robert	Camille Moreau	Emil De Borger			https://orcid.org/0000-0002-0981-7442	https://orcid.org/0000-0003-4905-1637		Ethanol 96				Kautex 100 ml		Unsorted	Bruno Danis	BIODIVERSITY_MEGABENTHOS	Unsorted	TANGO2_RD_1	Bruno Danis		Henri Robert | Camille Moreau | Emil De Borger	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0003-4905-1637	PreservedSpecimen	detected
TANGO2_RD_1_154_NA_Ethanol 96_NA		154	biota		Invertebrata		Invertebrata	Biota		urn:lsid:marinespecies.org:taxname:1								superdomain	Henri Robert	Camille Moreau	Emil De Borger			https://orcid.org/0000-0002-0981-7442	https://orcid.org/0000-0003-4905-1637		Ethanol 96				Kautex 100 ml		Unsorted	Bruno Danis	BIODIVERSITY_MEGABENTHOS	Unsorted	TANGO2_RD_1	Bruno Danis		Henri Robert | Camille Moreau | Emil De Borger	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0003-4905-1637	PreservedSpecimen	detected
TANGO2_RD_1_155_NA_Ethanol 96_NA		155	biota		Algae	1	Algae	Biota		urn:lsid:marinespecies.org:taxname:1								superdomain	Henri Robert	Camille Moreau	Emil De Borger			https://orcid.org/0000-0002-0981-7442	https://orcid.org/0000-0003-4905-1637		Ethanol 96				Glass Vial 20 ml			Bruno Danis	BIODIVERSITY_MEGABENTHOS		TANGO2_RD_1	Bruno Danis		Henri Robert | Camille Moreau | Emil De Borger	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0003-4905-1637	PreservedSpecimen	detected
TANGO2_RD_1_156_NA_Ethanol 96_NA		156	biota		Algae	5	Algae	Biota		urn:lsid:marinespecies.org:taxname:1								superdomain	Henri Robert	Camille Moreau	Emil De Borger			https://orcid.org/0000-0002-0981-7442	https://orcid.org/0000-0003-4905-1637		Ethanol 96				Glass Vial 20 ml			Bruno Danis	BIODIVERSITY_MEGABENTHOS		TANGO2_RD_1	Bruno Danis		Henri Robert | Camille Moreau | Emil De Borger	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0003-4905-1637	PreservedSpecimen	detected
TANGO2_RD_1_157_NA_Ethanol 96_NA		157	biota		Algae	1	Algae	Biota		urn:lsid:marinespecies.org:taxname:1								superdomain	Henri Robert	Camille Moreau	Emil De Borger			https://orcid.org/0000-0002-0981-7442	https://orcid.org/0000-0003-4905-1637		Ethanol 96				Glass Vial 20 ml			Bruno Danis	BIODIVERSITY_MEGABENTHOS		TANGO2_RD_1	Bruno Danis		Henri Robert | Camille Moreau | Emil De Borger	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0003-4905-1637	PreservedSpecimen	detected
TANGO2_RD_1_158_NA_Ethanol 96_NA		158	biota		Bivalvia	15	Bivalvia	Bivalvia	Linnaeus, 1758	urn:lsid:marinespecies.org:taxname:105	Animalia	Mollusca	Bivalvia					class	Henri Robert	Camille Moreau	Emil De Borger			https://orcid.org/0000-0002-0981-7442	https://orcid.org/0000-0003-4905-1637		Ethanol 96				Glass Vial 20 ml			Bruno Danis	BIODIVERSITY_MEGABENTHOS		TANGO2_RD_1	Bruno Danis		Henri Robert | Camille Moreau | Emil De Borger	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0003-4905-1637	PreservedSpecimen	detected
TANGO2_RD_1_159_NA_Ethanol 96_NA		159	biota		Bivalvia	7	Bivalvia	Bivalvia	Linnaeus, 1758	urn:lsid:marinespecies.org:taxname:105	Animalia	Mollusca	Bivalvia					class	Henri Robert	Camille Moreau	Emil De Borger			https://orcid.org/0000-0002-0981-7442	https://orcid.org/0000-0003-4905-1637		Ethanol 96				Glass Vial 20 ml			Bruno Danis	BIODIVERSITY_MEGABENTHOS		TANGO2_RD_1	Bruno Danis		Henri Robert | Camille Moreau | Emil De Borger	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0003-4905-1637	PreservedSpecimen	detected
TANGO2_RD_1_160_NA_Ethanol 96_NA		160	biota		Amphipoda	150	Amphipoda	Amphipoda	Latreille, 1816	urn:lsid:marinespecies.org:taxname:1135	Animalia	Arthropoda	Malacostraca	Amphipoda				order	Henri Robert	Camille Moreau	Emil De Borger			https://orcid.org/0000-0002-0981-7442	https://orcid.org/0000-0003-4905-1637		Ethanol 96				Glass Vial 20 ml			Bruno Danis	BIODIVERSITY_MEGABENTHOS		TANGO2_RD_1	Bruno Danis		Henri Robert | Camille Moreau | Emil De Borger	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0003-4905-1637	PreservedSpecimen	detected
TANGO2_RD_1_161_NA_Ethanol 96_NA		161	biota		Amphipoda	30	Amphipoda	Amphipoda	Latreille, 1816	urn:lsid:marinespecies.org:taxname:1135	Animalia	Arthropoda	Malacostraca	Amphipoda				order	Henri Robert	Camille Moreau	Emil De Borger			https://orcid.org/0000-0002-0981-7442	https://orcid.org/0000-0003-4905-1637		Ethanol 96				Glass Vial 20 ml			Bruno Danis	BIODIVERSITY_MEGABENTHOS		TANGO2_RD_1	Bruno Danis		Henri Robert | Camille Moreau | Emil De Borger	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0003-4905-1637	PreservedSpecimen	detected
