eventId	parentSampleId	sampleId	sampleType	parameter	verbatimScientificName	individualCount	verbatimIdentification	scientificName	scientificNameAuthorship	scientificNameId	kingdom	phylum	class	order	family	genus	specificEpithet	identifiedBy1	identifiedBy2	identifiedBy3	identifiedBy4	identifiedById1	identifiedById2	identifiedById3	identifiedById4	preservedIn1	preservedIn2	preservedIn3	container1	container2	container3	remark	recordedBy1	tangoProject	occurrenceRemarks	recordedBy	recordedByID	identifiedBy	identifiedByID
RD_1		152	biota		Porifera	15	Porifera	Porifera	Grant, 1836	urn:lsid:marinespecies.org:taxname:558	Animalia	Porifera						Henri Robert	Camille Moreau				https://orcid.org/0000-0002-0981-7442			Ethanol 96				Kautex 100 ml			Bruno Danis	BIODIVERSITY_MEGABENTHOS		Bruno Danis		Henri Robert | Camille Moreau	https://orcid.org/0000-0002-0981-7442
RD_1		153	biota		Invertebrata													Henri Robert	Camille Moreau	Emil De Borger			https://orcid.org/0000-0002-0981-7442	https://orcid.org/0000-0003-4905-1637		Ethanol 96				Kautex 100 ml		Unsorted	Bruno Danis	BIODIVERSITY_MEGABENTHOS		Bruno Danis		Henri Robert | Camille Moreau | Emil De Borger	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0003-4905-1637
RD_1		154	biota		Invertebrata													Henri Robert	Camille Moreau	Emil De Borger			https://orcid.org/0000-0002-0981-7442	https://orcid.org/0000-0003-4905-1637		Ethanol 96				Kautex 100 ml		Unsorted	Bruno Danis	BIODIVERSITY_MEGABENTHOS		Bruno Danis		Henri Robert | Camille Moreau | Emil De Borger	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0003-4905-1637
RD_1		155	biota		Algae	1												Henri Robert	Camille Moreau	Emil De Borger			https://orcid.org/0000-0002-0981-7442	https://orcid.org/0000-0003-4905-1637		Ethanol 96				Glass Vial 20 ml			Bruno Danis	BIODIVERSITY_MEGABENTHOS		Bruno Danis		Henri Robert | Camille Moreau | Emil De Borger	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0003-4905-1637
RD_1		156	biota		Algae	5												Henri Robert	Camille Moreau	Emil De Borger			https://orcid.org/0000-0002-0981-7442	https://orcid.org/0000-0003-4905-1637		Ethanol 96				Glass Vial 20 ml			Bruno Danis	BIODIVERSITY_MEGABENTHOS		Bruno Danis		Henri Robert | Camille Moreau | Emil De Borger	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0003-4905-1637
RD_1		157	biota		Algae	1												Henri Robert	Camille Moreau	Emil De Borger			https://orcid.org/0000-0002-0981-7442	https://orcid.org/0000-0003-4905-1637		Ethanol 96				Glass Vial 20 ml			Bruno Danis	BIODIVERSITY_MEGABENTHOS		Bruno Danis		Henri Robert | Camille Moreau | Emil De Borger	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0003-4905-1637
RD_1		158	biota		Bivalvia	15	Bivalvia	Bivalvia	Linnaeus, 1758	urn:lsid:marinespecies.org:taxname:105	Animalia	Mollusca	Bivalvia					Henri Robert	Camille Moreau	Emil De Borger			https://orcid.org/0000-0002-0981-7442	https://orcid.org/0000-0003-4905-1637		Ethanol 96				Glass Vial 20 ml			Bruno Danis	BIODIVERSITY_MEGABENTHOS		Bruno Danis		Henri Robert | Camille Moreau | Emil De Borger	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0003-4905-1637
RD_1		159	biota		Bivalvia	7	Bivalvia	Bivalvia	Linnaeus, 1758	urn:lsid:marinespecies.org:taxname:105	Animalia	Mollusca	Bivalvia					Henri Robert	Camille Moreau	Emil De Borger			https://orcid.org/0000-0002-0981-7442	https://orcid.org/0000-0003-4905-1637		Ethanol 96				Glass Vial 20 ml			Bruno Danis	BIODIVERSITY_MEGABENTHOS		Bruno Danis		Henri Robert | Camille Moreau | Emil De Borger	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0003-4905-1637
RD_1		160	biota		Amphipoda	150	Amphipoda	Amphipoda	Latreille, 1816	urn:lsid:marinespecies.org:taxname:1135	Animalia	Arthropoda	Malacostraca	Amphipoda				Henri Robert	Camille Moreau	Emil De Borger			https://orcid.org/0000-0002-0981-7442	https://orcid.org/0000-0003-4905-1637		Ethanol 96				Glass Vial 20 ml			Bruno Danis	BIODIVERSITY_MEGABENTHOS		Bruno Danis		Henri Robert | Camille Moreau | Emil De Borger	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0003-4905-1637
RD_1		161	biota		Amphipoda	30	Amphipoda	Amphipoda	Latreille, 1816	urn:lsid:marinespecies.org:taxname:1135	Animalia	Arthropoda	Malacostraca	Amphipoda				Henri Robert	Camille Moreau	Emil De Borger			https://orcid.org/0000-0002-0981-7442	https://orcid.org/0000-0003-4905-1637		Ethanol 96				Glass Vial 20 ml			Bruno Danis	BIODIVERSITY_MEGABENTHOS		Bruno Danis		Henri Robert | Camille Moreau | Emil De Borger	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0003-4905-1637
